Vial,Species,Treatment,Treatment_abreave,Food_type,Poke_type,sex,Replicate,Day_emerged,Day_Infected,time_infected,fly_age,Original_N_number,Number_of_flies_per_vial,day_1 (12/2),day_2 (12/3),day_3 (12/4),day_4 (12/5),day_5 (12/6),day_6 (12/7),day_7 (12/8),day_8 (12/9),day_9 (12/10),day_10 (12/11),day_11 (12/12),day_12 (12/13),day_13 (12/14),day_14 (12/15),day 3 notes,day 6 notes,day 9 notes
1,innubila,instant mushroom no poke,IMNP,IM,NP,male,1,11/24-11/27,20221201,2:09,5-7 days,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,,,
2,innubila,instant mushroom complete cell culture medium,IMCCCM,IM,CCCM,male,1,11/24-11/27,20221201,2:14,5-7 days,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,,,
3,innubila,instant complete cell culture medium,ICCCM,I,CCCM,male,1,11/24-11/27,20221201,2:20,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
4,innubila,instant schneider's medium,ISM,I,SM,male,1,11/24-11/27,20221201,2:25,5-7 days,10,7,7,7,7,7,7,7,7,7,4,4,4,4,3,3,,,lost 3 in transfer 
5,innubila,instant mushroom schneider's medium,IMSM,IM,SM,male,1,11/24-11/27,20221201,2:31,5-7 days,10,9,9,9,9,10,9,9,9,9,7,7,7,7,7,7,,,
6,innubila,instant no poke,INP,I,NP,male,1,11/24-11/27,20221201,2:37,5-7 days,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,,,
7,innubila,instant no poke,INP,I,NP,male,2,11/24-11/27,20221201,2:38,5-7 days,10,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,,lost 1 in transfer,
8,innubila,instant mushroom schneider's medium,IMSM,IM,SM,male,2,11/24-11/27,20221201,2:44,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,,,
9,innubila,instant schneider's medium,ISM,I,SM,male,2,11/24-11/27,20221201,2:50,5-7 days,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,,,
10,innubila,instant mushroom no poke,IMNP,IM,NP,male,2,11/24-11/27,20221201,2:57,5-7 days,10,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,lost 1 in transfer,,
11,innubila,instant schneider's medium,ISM,I,SM,male,3,11/24-11/27,20221201,3:03,5-7 days,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,,,
12,innubila,instant mushroom complete cell culture medium,IMCCCM,IM,CCCM,male,2,11/24-11/27,20221201,3:08,5-7 days,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,,,
13,innubila,instant complete cell culture medium,ICCCM,I,CCCM,male,2,11/24-11/27,20221201,3:13,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
14,innubila,instant no poke,INP,I,NP,male,3,11/24-11/27,20221201,3:18,5-7 days,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,7,,,
15,innubila,instant mushroom complete cell culture medium,IMCCCM,IM,CCCM,male,3,11/24-11/27,20221201,3:27,5-7 days,10,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,lost 1 in transfer,,
16,innubila,instant schneider's medium,ISM,I,SM,male,4,11/24-11/27,20221201,3:32,5-7 days,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,lost 1 in transfer
17,innubila,instant mushroom no poke,IMNP,IM,NP,male,3,11/24-11/27,20221201,3:36,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
18,innubila,instant mushroom schneider's medium,IMSM,IM,SM,male,3,11/24-11/27,20221201,3:41,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
19,innubila,instant complete cell culture medium,ICCCM,I,CCCM,male,3,11/24-11/27,20221201,3:46,5-7 days,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,
20,innubila,instant complete cell culture medium,ICCCM,I,CCCM,male,4,11/24-11/27,20221201,3:51,5-7 days,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,,,
21,innubila,instant no poke,INP,I,NP,male,4,11/24-11/27,20221201,3:56,5-7 days,10,10,10,10,10,9,9,9,8,8,6,6,6,6,6,6,,,
22,innubila,instant mushroom complete cell culture medium,IMCCCM,IM,CCCM,male,4,11/24-11/27,20221201,4:02,5-7 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
23,innubila,instant mushroom schneider's medium,IMSM,IM,SM,male,4,11/24-11/27,20221201,4:07,5-7 days,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,,,
24,innubila,instant mushroom no poke,IMNP,IM,NP,male,4,11/24-11/27,20221201,4:12,5-7 days,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,,,