vial,species,sex,combo,mated status,days_emerged,day_infected,age_infected,original_vial_from,tube,treatment,volume,time,time on CO2,original_N_number,adjusted_N_number,day 1 12/6,day 2 12/7,day 3 12/8,day 4 12/9,day 5 12/10,day 6 12/11,day 7 12/12,day 8 12/13,day 9 12/14,day 10 12/15,day 11 12/16,day 12 12/17,day 13 12/18,day 14 12/19,notes
1,D. innubila,male,male-CCM,yes,11/26-11/27,20231205,8-9 days,3,CCM,CCM,27.6nl,2:55,5 min,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,1 lost in transfer 12/11
2,D. innubila,female,female-CCM,yes,11/26-11/27,20231205,8-9 days,4,CCM,CCM,27.6nl,3:01,5 min,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,
3,D. innubila,male,male-CCM,yes,11/26-11/27,20231205,8-9 days,6,CCM,CCM,27.6nl,3:06,6 min,10,10,10,10,10,9,8,7,7,7,7,7,7,7,7,7,
4,D. innubila,female,female-CCM,yes,11/26-11/27,20231205,8-9 days,1,CCM,CCM,27.6nl,3:12,7 min,10,9,9,9,8,7,7,7,7,7,6,6,6,6,6,5,
5,D. innubila,male,male-0.01,yes,11/26-11/27,20231205,8-9 days,2,5,0.01FFU,27.6nl,3:28,7 min,10,10,10,10,10,10,10,10,10,10,9,9,6,6,6,6,
6,D. innubila,female,female-0.01,yes,11/26-11/27,20231205,8-9 days,3,5,0.01FFU,27.6nl,3:37,5 min,10,10,10,10,8,8,8,8,7,8,7,7,6,6,6,6,
7,D. innubila,male,male-0.1,yes,11/26-11/27,20231205,8-9 days,3,4,0.1FFU,27.6nl,3:51,5 min,10,10,10,10,9,9,9,9,8,5,1,1,0,0,0,0,
8,D. innubila,female,female-0.1,yes,11/26-11/27,20231205,8-9 days,2,4,0.1FFU,27.6nl,3:56,5 min,10,9,9,9,9,8,8,7,7,3,1,1,1,1,1,1,lost 1 in transfer 12/8
9,D. innubila,male,male-1,yes,11/26-11/27,20231205,8-9 days,1,3,1 FFU,27.6nl,4:11,6 min ,10,9,9,9,9,9,9,7,7,6,4,4,3,1,1,0,
10,D. innubila,female,female-1,yes,11/26-11/27,20231205,8-9 days,5,3,1FFU,27.6nl,4:17,5 min,10,10,10,10,10,10,8,9,5,2,0,0,0,0,0,0,
11,D. innubila,male,male-3,yes,11/26-11/27,20231205,8-9 days,2,2,3 FFU,27.6nl,4:32,6 min,10,10,10,10,10,9,9,9,8,4,1,1,1,0,0,0,
12,D. innubila,female,female-3,yes,11/26-11/27,20231205,8-9 days,3,2,3 FFU,27.6nl,4:38,5 min,10,10,10,10,9,9,9,8,6,0,0,0,0,0,0,0,
13,D. innubila,male,male-6,yes,11/26-11/27,20231205,8-9 days,4,1,6 FFU,27.6nl,4:53,5 min,10,10,10,10,10,10,10,10,9,5,4,2,1,1,1,1,
14,D. innubila,female,female-6,yes,11/26-11/27,20231205,8-9 days,6,1,6 FFU,27.6nl,4:57,5 min,10,10,10,10,10,10,10,9,7,3,1,1,0,0,0,0,