tube_number,day_frozen,age,day_extraction,CO1_result,TPI_result,p47_30_result,115_30_result,p47 35 cycle result,115 35 cycle result,Samples for qPCR,qubit,ng in 3ul,vol H20 for 1ng/ul
1,20230721,0-3 days,20230727,yes,yes,no,no,no,no,,,,
2,20230721,0-3 days,20230727,yes,yes,no,no,no,no,,,,
3,20230721,0-3 days,20230727,yes,yes,no,no,no,no,,,,
4,20230721,0-3 days,20230727,yes,yes,no,no,no,no,yes,,,
5,20230722,1-4 days,20230727,yes,yes,no,no,no,no,,,,
6,20230722,1-4 days,20230727,yes,yes,no,no,no,no,,,,
7,20230722,1-4 days,20230727,yes,yes,no,no,no,no,,,,
8,20230722,1-4 days,20230727,yes,yes,no,no,no,no,,,,
9,20230723,2-5 days,20230727,yes,yes,no,no,no,no,,,,
10,20230723,2-5 days,20230727,yes,yes,no,no,no,no,,,,
11,20230723,2-5 days,20230727,yes,yes,no,no,no,no,yes,,,
12,20230723,2-5 days,20230727,yes,no,no,no,no,no,,,,
13,20230724,3-6 days,20230727,yes,yes,no,no,no,no,,,,
14,20230724,3-6 days,20230727,yes,yes,no,no,no,no,,,,
15,20230724,3-6 days,20230727,yes,yes,no,no,no,no,yes,,,
16,20230724,3-6 days,20230727,yes,yes,no,no,no,no,,,,
17,20230725,4-7 days,20230727,yes,yes,no,no,no,no,,,,
18,20230725,4-7 days,20230727,no,no,no,no,no,no,yes,,,
19,20230725,4-7 days,20230727,yes,yes,no,no,no,no,,,,
C,NA,NA ,20230727,no,no,no,no,no,no,,,,