tube,treatment,p47
81,0.01 FFU,no
82,0.01 FFU,no
83,0.01 FFU,no
84,0.01 FFU,yes
85,0.01 FFU,no
86,0.01 FFU,no
87,0.01 FFU,no
88,0.01 FFU,no
89,0.01 FFU,no
90,0.01 FFU,no
91,0.01 FFU,no
92,0.01 FFU,no
93,0.01 FFU,no
94,0.01 FFU,no
95,0.05 FFU,yes
96,0.05 FFU,yes
97,0.05 FFU,no
85,0.01 FFU,no
86,0.01 FFU,no
87,0.01 FFU,no
88,0.01 FFU,no
89,0.01 FFU,no
90,0.01 FFU,no
91,0.01 FFU,no
92,0.01 FFU,yes
93,0.01 FFU,yes
94,0.01 FFU,yes
95,0.01 FFU,no
96,0.01 FFU,yes
97,0.05 FFU,yes
98,0.05 FFU,yes