Well,sample_ID,primer,dilution,day,unique_name,Cq
A01,1,TPI,0.01 FFU,day0,1-TPI,22.10
A02,2,TPI,0.01 FFU,day0,2-TPI,22.02
A03,3,TPI,0.01 FFU,day0,3-TPI,23.62
A04,4,TPI,0.01 FFU,day0,4-TPI,22.13
A05,5,TPI,0.01 FFU,day0,5-TPI,22.04
A06,7,TPI,0.01 FFU,day6,7-TPI,24.20
A07,8,TPI,0.01 FFU,day6,8-TPI,22.07
A08,9,TPI,0.01 FFU,day6,9-TPI,24.21
A09,10,TPI,0.01 FFU,day6,10-TPI,22.14
A10,11,TPI,0.01 FFU,day6,11-TPI,22.21
A11,12,TPI,0.01 FFU,day6,12-TPI,22.47
A12,13,TPI,0.01 FFU,day7,13-TPI,23.17
B01,14,TPI,0.01 FFU,day7,14-TPI,21.71
B02,15,TPI,0.01 FFU,day7,15-TPI,22.29
B03,16,TPI,0.01 FFU,day7,16-TPI,22.22
B04,17,TPI,0.01 FFU,day7,17-TPI,22.23
B05,18,TPI,0.01 FFU,day7,18-TPI,22.58
B06,19,TPI,0.01 FFU,day7,19-TPI,22.03
B07,20,TPI,0.01 FFU,day7,20-TPI,22.18
B08,21,TPI,0.01 FFU,day9,21-TPI,22.27
B09,22,TPI,0.01 FFU,day9,22-TPI,23.79
B10,23,TPI,0.01 FFU,day9,23-TPI,22.15
B11,24,TPI,0.01 FFU,day9,24-TPI,22.10
B12,25,TPI,0.01 FFU,day9,25-TPI,23.50
C01,1,PIF 3,0.01 FFU,day0,1-PIF,32.69
C02,2,PIF 3,0.01 FFU,day0,2-PIF,31.79
C03,3,PIF 3,0.01 FFU,day0,3-PIF,33.40
C04,4,PIF 3,0.01 FFU,day0,4-PIF,32.07
C05,5,PIF 3,0.01 FFU,day0,5-PIF,33.33
C06,7,PIF 3,0.01 FFU,day6,7-PIF,15.48
C07,8,PIF 3,0.01 FFU,day6,8-PIF,26.23
C08,9,PIF 3,0.01 FFU,day6,9-PIF,14.82
C09,10,PIF 3,0.01 FFU,day6,10-PIF,24.12
C10,11,PIF 3,0.01 FFU,day6,11-PIF,12.44
C11,12,PIF 3,0.01 FFU,day6,12-PIF,21.48
C12,13,PIF 3,0.01 FFU,day7,13-PIF,26.14
D01,14,PIF 3,0.01 FFU,day7,14-PIF,27.00
D02,15,PIF 3,0.01 FFU,day7,15-PIF,29.15
D03,16,PIF 3,0.01 FFU,day7,16-PIF,23.20
D04,17,PIF 3,0.01 FFU,day7,17-PIF,22.89
D05,18,PIF 3,0.01 FFU,day7,18-PIF,12.24
D06,19,PIF 3,0.01 FFU,day7,19-PIF,25.87
D07,20,PIF 3,0.01 FFU,day7,20-PIF,25.61
D08,21,PIF 3,0.01 FFU,day9,21-PIF,25.62
D09,22,PIF 3,0.01 FFU,day9,22-PIF,25.44
D10,23,PIF 3,0.01 FFU,day9,23-PIF,28.13
D11,24,PIF 3,0.01 FFU,day9,24-PIF,24.47
D12,25,PIF 3,0.01 FFU,day9,25-PIF,14.96