Well,count,columns,rows
A01,1,1,1
A02,1,2,1
A03,1,3,1
A04,2,4,1
A05,3,5,1
A06,2,6,1
A07,1,7,1
A08,1,8,1
A09,1,9,1
A10,3,10,1
A11,2,11,1
A12,2,12,1
B01,0,1,2
B02,1,2,2
B03,1,3,2
B04,0,4,2
B05,0,5,2
B06,0,6,2
B07,1,7,2
B08,1,8,2
B09,1,9,2
B10,2,10,2
B11,1,11,2
B12,2,12,2
C01,0,1,3
C02,0,2,3
C03,0,3,3
C04,2,4,3
C05,2,5,3
C06,2,6,3
C07,2,7,3
C08,3,8,3
C09,2,9,3
C10,4,10,3
C11,3,11,3
C12,3,12,3
D01,1,1,4
D02,1,2,4
D03,1,3,4
D04,1,4,4
D05,0,5,4
D06,1,6,4
D07,1,7,4
D08,0,8,4
D09,0,9,4
D10,0,10,4
D11,0,11,4
D12,0,12,4
E01,0,1,5
E02,0,2,5
E03,0,3,5
E04,2,4,5
E05,2,5,5
E06,2,6,5
E07,0,7,5
E08,0,8,5
E09,0,9,5
E10,0,10,5
E11,0,11,5
E12,0,12,5
F01,1,1,6
F02,1,2,6
F03,1,3,6
F04,1,4,6
F05,1,5,6
F06,1,6,6
F07,1,7,6
F08,2,8,6
F09,1,9,6
F10,1,10,6
F11,1,11,6
F12,1,12,6
G01,0,1,7
G02,0,2,7
G03,0,3,7
G04,1,4,7
G05,0,5,7
G06,2,6,7
G07,0,7,7
G08,0,8,7
G09,0,9,7
G10,1,10,7
G11,0,11,7
G12,0,12,7
H01,0,1,8
H02,0,2,8
H03,0,3,8
H04,1,4,8
H05,0,5,8
H06,1,6,8
H07,0,7,8
H08,1,8,8
H09,1,9,8
H10,1,10,8
H11,1,11,8
H12,1,12,8
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,